CUI,STR
C0022346,Jaundice
C0022346,ICTERUS
C0022346,JAUNDICE
C0022346,jaundice
C0022346,YELLOW SKIN
C0022346,icterus
C0022346,GULSOT/ICTERUS
C0022346,GULSOTT/IKTERUS
C0022346,Geelzucht
C0022346,Gelbsucht/Ikterus
C0022346,Gulsot icterus
C0022346,Ictericia
C0022346,Ittero
C0022346,Jaunisse
C0022346,KELTAISUUS
C0022346,sargasag
C0022346,IKTERIZIA
C0022346,Jaundice [Disease/Finding]
C0022346,tzahevet
C0022346,icteric
C0022346,Ictere
C0022346,Jaundiced
C0022346,Yellowing of the skin
C0022346,Yellow skin
C0022346,Icterus NOS
C0030499,"Disease, Parasitic"
C0030499,"Diseases, Parasitic"
C0030499,Parasitic Disease
C0030499,Parasitic Diseases
C0030499,Parasitic diseases
C0030499,parasitic disease
C0030499,PARASITIC DIS
C0030499,Parasitic Diseases [Disease/Finding]
C0030499,parasitic diseases
C0030499,parasitosis
C0030499,disease caused by a parasite
C0030499,infestation
C0030499,parasitic infection
C0030499,Parasite Infection
C0030499,"Infection, Parasitic"
C0030499,Parasite Infections
C0030499,"Infection, Parasite"
C0030499,Parasitic Infections
C0030499,"Infections, Parasitic"
C0030499,Parasitic Infection
C0030499,"Infections, Parasite"
C0030499,Parasitic disease NOS
C0030657,PY
C0030657,PATHOGEN
C0030657,Pathogenicity Aspects
C0030657,pathogenicity
C0030657,infectivity
C0036743,serology
C0036743,Serologic Tests
C0036743,Serological Test
C0036743,"Test, Serological"
C0036743,"Tests, Serological"
C0036743,SEROL TESTS
C0036743,TESTS SEROL
C0036743,SEROL TEST
C0036743,TEST SEROL
C0036743,serologic test
C0036743,serological test
C0036743,serologic tests
C0036743,serological tests
C0036743,serology test
C0036743,serology tests
C0036743,Serologic tests
C0036743,Serology studies
C0036743,Serologic Test
C0036743,Serological Tests
C0036743,"Test, Serologic"
C0036743,"Tests, Serologic"
C0042765,Virulence
C0042765,virulence
C0042765,obsolete virulence
C0153336,Late eff infect dis NEC
C0153336,Late effects of other infectious and parasitic diseases
C0153336,Late effects of other and unspecified infectious and parasitic diseases
C0177697,Exc wound debridement
C0177697,"Excisional debridement of wound, infection, or burn"
C0177701,Nonexcis debridement wnd
C0177701,"Nonexcisional debridement of wound, infection or burn"
C0178747,microorganism growth
C0206679,"Herpesvirus 1, Human"
C0206679,Human herpesvirus 1
C0206679,HERPESVIRUS 1 ALPHA HUMAN
C0206679,HERPESVIRUS HUMAN 01
C0206679,HSV 01
C0206679,HHV 1
C0206679,HERPES SIMPLEX VIRUS 01
C0206679,HUMAN HERPESVIRUS 01
C0206679,human alphaherpesvirus 1
C0206679,herpes simplex virus 1
C0206679,HSV 1
C0206679,"herpes virus 1, human"
C0206679,"herpesvirus 1, human"
C0206679,Herpes simplex virus 1
C0206679,1 herpes simplex virus
C0206679,1 hsv
C0206679,herpes simplex type 1 virus
C0206679,herpes simplex 1 virus
C0206679,hhv-1
C0206679,hsv-1
C0206679,human herpes virus 1
C0206679,herpes simplex 1 virus (hsv-1)
C0206679,herpes simplex i
C0206679,hsv i
C0206679,herpes virus simplex type 1
C0206679,hsv 1
C0206679,virus type 1 herpes simplex
C0206679,herpes simplex virus type 1
C0206679,HUMAN HERPESVIRUS 1
C0206679,Human herpesvirus type 1
C0206679,herpes simplex virus 1 HSV-1
C0206679,herpes simplex virus HSV-1
C0206679,herpes simplex virus type 1 HSV-1
C0206679,herpes simplex virus type 1 HSV1
C0206679,herpes simplex virus type-1 HSV-1
C0206679,HHV-1
C0206679,Herpes Simplex Virus Type 1
C0206679,Herpes Simplex Virus 1
C0206679,Human Herpesvirus 1
C0206679,"Herpesvirus 1 (alpha), Human"
C0206679,HSV-1
C0206679,Human alphaherpesvirus 1
C0242781,communicable disease transmission
C0242781,Transmitted
C0242781,"Transmission, Infection"
C0242781,"Disease Transmission, Communicable"
C0242781,"Transmission, Communicable Disease"
C0242781,"Disease Transmission, Infectious"
C0242781,"Transmission, Pathogen"
C0242781,disease transmissions
C0242781,of disease transmission
C0242781,transmission disease
C0242781,diseases of transmission
C0242781,diseases transmission
C0242781,transmission of disease
C0242781,disease transmission
C0242781,infectious disease transmission
C0242781,Communicable diseases--Transmission
C0242781,Transmission
C0242781,"Transmission, Infectious Disease"
C0242781,Communicable Disease Transmission
C0242781,Transmission of Infectious Disease
C0242781,Infectious Disease Transmission
C0242781,Pathogen Transmission
C0242781,Infection Transmission
C0242781,Disease Transmission
C0260344,Encounter due to contact with or exposure to rubella
C0260344,Rubella contact
C0260344,Contact with or exposure to rubella
C0260345,Encounter due to contact with or exposure to rabies
C0260345,Rabies contact
C0260345,Contact with or exposure to rabies
C0264550,effusions parapneumonic
C0264550,parapneumonic effusion
C0274432,Infection as complication of medical care
C0275521,clinical infection
C0275521,clinical infections
C0275521,infection clinical
C0275521,Clinical Infection
C0275521,Clinical infection
C0439663,infect
C0439663,infected
C0439663,infecting
C0439663,infects
C0439663,Infected
C0445623,microorganism
C0445623,Single-Celled Organism
C0445623,microbial
C0445623,single cell organism
C0445623,unicellular organisms
C0445623,Microbe
C0445623,Micro-organism
C0445623,Microorganism
C0445623,micro-organisms
C0445623,unicellular organism
C0445623,micro organism
C0445623,micro organisms
C0445623,microorganisms
C0445623,microbials
C0445623,Micro-organisms
C0445623,EntityClassMicroorganism
C0445623,Microorganisms
C0445623,Microbial
C0445623,"Microorganisms, General"
C0582147,infection risks
C0582147,risk for infection
C0582147,infections risk
C0582147,infection risk
C0582147,Infection risk
C0582147,At risk of infection
C0596350,communicable disease diagnosis
C0596350,communicable disease diagnosis (procedure)
C0596350,diagnosis diseases infectious
C0596350,diagnosis disease infectious
C0596350,infectious disease diagnosis
C0596532,epizootiology
C0677482,Biological Symbiosis
C0677482,parasitism
C0679241,disease transmission factor
C0682465,bacteria by stain
C0682465,stain bacteria
C0683396,central nervous system inflammation or infection
C0683396,CNS inflammation or infection
C0699943,public health
C0699943,Public health service
C0699943,public health service
C0699943,public health services
C0699943,Public health
C0851162,Infections
C0851162,INFEKSJONER
C0851162,INFEKTIONER
C0851162,Infecciones
C0851162,Infeccoes
C0851162,Infectieziekten
C0851162,Infektion
C0851162,Infezioni
C0851162,TULEHDUKSET
C0851162,fertozes
C0851162,infektioese Erkrank Bewegungsapparat
C0851162,ZOLDURA
C0851162,infections of the muscles or skeleton
C0851162,Infections of musculoskeletal system
C1550587,infectious - Entity Risk
C1550587,infectious
C1555764,Physicians - Internal Medicine - Infectious Disease
C1556682,Adverse Event Associated with Infection
C1556682,INFECTION
C1692886,Bacterial Arthritis
C1692886,Bacterial arthritis
C1692886,"Arthritis, Bacterial"
C1692886,ARTHRITIDES BACT
C1692886,ARTHRITIS BACT
C1692886,BACT ARTHRITIDES
C1692886,BACT ARTHRITIS
C1692886,Septic Arthritis
C1692886,Pyogenic Arthritis
C1692886,bacterial arthritis
C1692886,purulent arthritis
C1692886,septic arthritis
C1692886,pyogenic arthritis
C1692886,septic arthrits
C1692886,arthritis septic
C1692886,pyarthrosis
C1692886,Bacterial Arthritides
C1692886,"Arthritis, Septic"
C1692886,"Arthritides, Bacterial"
C2314882,Reproductive tract infection
C2314882,reproductive tract infection
C2314882,"Infections, Reproductive Tract"
C2314882,Genital Tract Infection
C2314882,"Infection, Genital Tract"
C2314882,"Infection, Reproductive Tract"
C2314882,Reproductive Tract Infections
C2314882,"Infections, Genital Tract"
C2314882,Reproductive Tract Infection
C2314882,Reproductive Tract Infections [Disease/Finding]
C2314882,Genital Tract Infections
C2707258,Infections:-:Point in time:^Patient:-
C2707258,Infections
C2707258,Infections:-:Pt:^Patient:-
C3714514,Infection
C3714514,Infections
C3714514,INFECTION
C3714514,infection
C3714514,INFECT
C3714514,infections
C3714515,Infectious Disease
C3714515,Infectious Disease Pathway
C0011900,Diagnoses
C0011900,Diagnosis
C0011900,diagnosis
C0011900,DIAGNOSIS
C0011900,Dx
C0011900,DIAG
C0011900,Diagnostic
C0011900,Diagnosed
C0011900,diagnosing
C0011900,diagnoses
C0011900,diagnosis (DX)
C0011900,diagnosed
C0011900,diagnose
C0011900,{Diagnosis}
C0012242,Digestive System Disease
C0012242,Digestive System Diseases
C0012242,"Diseases, Digestive System"
C0012242,"System Disease, Digestive"
C0012242,"System Diseases, Digestive"
C0012242,digestive disorder
C0012242,"Disease, Digestive System"
C0012242,DIGESTIVE SYSTEM DIS
C0012242,digestive system disorder
C0012242,Diseases of the digestive system
C0012242,Digestive System Diseases [Disease/Finding]
C0012242,digestive system disorders
C0012242,digestive disorders
C0012242,git disease
C0012242,digestive disease
C0012242,disease of digestive system
C0012242,diseases of the digestive system
C0012242,digestive system disease
C0012242,digestive diseases
C0012242,digestive system diseases
C0012242,Digestive Diseases
C0012242,Digestive system disease
C0012242,Digestive System Disorders
C0012242,DISEASES OF THE DIGESTIVE SYSTEM
C0000727,"Abdomen, Acute"
C0000727,"Abdomens, Acute"
C0000727,Acute Abdomen
C0000727,Acute Abdomens
C0000727,ABDOMINAL SYNDROME ACUTE
C0000727,SYNDROME ABDOMINAL ACUTE
C0000727,"Abdomen, Acute [Disease/Finding]"
C0000727,abdomen acute
C0000727,acute abdominal syndrome
C0000727,acute abdomen
C0000727,surgical abdomen
C0000727,Acute abdomen
C0000734,ABDOMINAL MASS
C0000734,Abdominal mass NOS
C0000734,ABDOMINAL OPPFYLLING/SVULST INA
C0000734,Masa abdominal NE
C0000734,Massa abdominal NE
C0000734,Massa addominale NSA
C0000734,Masse abdominale NP
C0000734,TUUMORI MAHASSA NUD
C0000734,UTFYLLNAD I BUKEN UNS
C0000734,Udfyldning i abdomen INA
C0000734,Zwelling buik NAO
C0000734,"hasi duzzanat, nem meghatarozott"
C0000734,intraabdominelle Raumforderung NNB
C0000734,MASA ABDOMINALA EZ
C0000734,abdomen lumps
C0000734,abdomen masses
C0000734,mass in abdomen
C0000734,abdominal lump
C0000734,abdominal mass
C0000734,abdominal lumps
C0000734,lump abdominal
C0000734,abdominal masses
C0000734,lump abdomen
C0000734,mass abdomen
C0000734,abdomen lump
C0000734,abdomen mass
C0000734,mass abdominal
C0000734,Abdominal mass
C0000734,Abdominal Mass
C0000737,Abdominal Pain
C0000737,Abdominal Pains
C0000737,ABDOMINAL PAIN NOS
C0000737,ABDOMINAL PAIN
C0000737,Abdominal pain
C0000737,PAIN ABDOMINAL
C0000737,"Pain, Abdominal"
C0000737,"Pains, Abdominal"
C0000737,abdominal pain
C0000737,Abdmnal pain unspcf site
C0000737,Abdominal Pain [Disease/Finding]
C0000737,gut pain
C0000737,abdomen pain
C0000737,abdominal pains
C0000737,Bellyache
C0000737,Stomach pain
C0000737,Pain in stomach
C0000737,"Abdominal pain, unspecified site"
C0001339,Acute pancreatitis
C0001339,"PANCREATITIS, ACUTE"
C0001339,PANCREATITIS ACUTE
C0001339,Acute Pancreatitis
C0001339,"Pancreatitis, acute"
C0001339,acute pancreatitis
C0001339,Pancreatite aigue
C0001339,Pancreatite acuta
C0001339,Acute pancreatic inflammation
C0003462,Anus
C0003462,Anus Disease
C0003462,Anus Diseases
C0003462,"Disease, Anus"
C0003462,"Diseases, Anus"
C0003462,ANUS DISORDER
C0003462,DISORDER ANUS
C0003462,ANUS DIS
C0003462,anal disorder
C0003462,Anus Diseases [Disease/Finding]
C0003462,disease anus
C0003462,anus disease
C0003462,anus disorders
C0003462,disorder anus
C0003462,anus diseases
C0003462,anal disorders
C0003462,Anal Disorders
C0003462,Anus--Diseases
C0003462,Anal Disorder
C0003466,"Anus, Imperforate"
C0003466,ANAL IMPERFORATION
C0003466,ANUS IMPERFORATE
C0003466,IMPERFORATE ANUS
C0003466,Imperforate Anus
C0003466,Anal Atresias
C0003466,"Atresias, Anal"
C0003466,Anal atresia
C0003466,"ANUS, IMPERFORATE"
C0003466,Imperforate anus
C0003466,Anal Atresia
C0003466,"Atresia, Anal"
C0003466,"Anus, Imperforate [Disease/Finding]"
C0003466,anus atresia
C0003466,atresia ani
C0003466,anus imperforate
C0003466,anus imperforated
C0003466,anal atresia
C0003466,imperforate anu
C0003466,imperforate anus
C0003466,Atresia of anus
C0003466,Congenital or infantile occlusion of anus
C0003615,Appendicitis
C0003615,APPENDICITIS
C0003615,appendicitis
C0003615,Apendicite
C0003615,Apendicitis
C0003615,Appendicite
C0003615,Appendizitis
C0003615,BLINDTARMBETENNELSE - k35 - k36 - k37
C0003615,BLINDTARMSINFLAMMATION
C0003615,Blindtarmsbetaendelse
C0003615,UMPILISAKKEEN TULEHDUS/APPENDISIITTI
C0003615,Appendicitis NOS
C0003615,APENDIZITISA
C0003615,Appendicitis [Disease/Finding]
C0003615,Acute Appendicitis
C0003615,"Appendicitis, unqualified"
C0005424,Biliary tract disease
C0005424,Biliary Tract Diseases
C0005424,"Diseases, Biliary Tract"
C0005424,"BILIARY TRACT DISEASE, NOS"
C0005424,biliary tract disorder
C0005424,Biliary Tract Disease
C0005424,"Disease, Biliary Tract"
C0005424,BILIARY TRACT DIS
C0005424,biliary and gallbladder disorder
C0005424,Dis of biliary tract NOS
C0005424,Biliary Tract Diseases [Disease/Finding]
C0005424,biliary disease tract
C0005424,biliary tract disease
C0005424,biliary tract diseases
C0005424,biliary tract disorders
C0005424,"Tract Disease, Biliary"
C0005424,"Tract Diseases, Biliary"
C0005424,Biliary tract--Diseases
C0005424,Unspecified disorder of biliary tract
C0006370,Bulimia
C0006370,Bulimias
C0006370,BULIMIA
C0006370,bulimia
C0006370,Bulimia [Disease/Finding]
C0006370,Binge Eating
C0006370,Binge and purge
C0006370,"Eating, Binge"
C0007102,colon cancer
C0007102,Cancer of colon
C0007102,Malignant tumor of colon
C0007102,"Cancers, Colon"
C0007102,Colon Cancers
C0007102,"Cancer, Colonic"
C0007102,"Cancers, Colonic"
C0007102,Colonic Cancers
C0007102,Malignant neo colon NOS
C0007102,colon ca
C0007102,colon cancers
C0007102,of the colon cancer
C0007102,cancer of colon
C0007102,cancer colonic
C0007102,cancer colons
C0007102,colonic cancer
C0007102,of cancer colon
C0007102,cancer of the colon
C0007102,ca colon
C0007102,malignant colon neoplasm
C0007102,malignant neoplasm of colon
C0007102,"Cancer, Colon"
C0007102,Malignant colonic tumor
C0007102,"Malignant neoplasm of colon, unspecified site"
C0007102,"Malignant neoplasm of colon, unspecified"
C0007102,Tumeur maligne colique
C0007102,Tumore maligno del colon
C0007102,Colon cancer
C0007102,Colon Cancer
C0007102,Cancer of the Colon
C0007102,Colonic Cancer
C0007102,"Colon Neoplasm, Malignant"
C0007102,"Colon Tumor, Malignant"
C0007102,Malignant Colon Neoplasm
C0007102,Malignant Colon Tumor
C0007102,Malignant Colonic Neoplasm
C0007102,Malignant Colonic Tumor
C0007102,Malignant Neoplasm of Colon
C0007102,Malignant Neoplasm of the Colon
C0007102,Malignant Tumor of Colon
C0007102,Malignant Tumor of the Colon
C0007102,Cancer of Colon
C0007102,Malignant neoplasm of colon
C0007971,Cheilitides
C0007971,Cheilitis
C0007971,CHEILITIS
C0007971,CHELITIS
C0007971,cheilitis
C0007971,Cheilitis [Disease/Finding]
C0007971,chelitis
C0007971,lip inflammation
C0007971,inflammation lips
C0007971,inflammation lip
C0007971,Inflammation of the lips
C0007971,Cheilitis NOS
C0009319,Colitides
C0009319,Colitis
C0009319,COLITIS
C0009319,colitis
C0009319,COLITIS (NOS)
C0009319,Colitis [Disease/Finding]
C0009319,colon inflammation
C0009319,colon (non-specific) inflammation
C0009324,Ulcerative colitis
C0009324,"Colitis, Ulcerative"
C0009324,COLITIS ULCERATIVE
C0009324,"COLITIS, ULCERATIVE"
C0009324,INFLAMMATORY BOWEL DISEASE ULCERATIVE COLITIS
C0009324,ULCERATIVE COLITIS
C0009324,ulcerative colitis
C0009324,Ulceratve colitis unspcf
C0009324,Ulcerative Colitis
C0009324,"Colitis, Ulcerative [Disease/Finding]"
C0009324,colitis ulcerative
C0009324,Ulcerative colitis as main diagnosis for the colon
C0009324,Ulcerative colitis as reason for lower g.i. examination
C0009324,Rectocolite ulcero-hemorragique comme diagnostic principal pour le colon
C0009324,Rectocolite ulcero-hemorragique comme motif de realisation d'une coloscopie
C0009324,Colite ulcerosa come diagnosi principale per il duodeno
C0009324,Colite ulcerosa come motivo di endoscopia del tratto digestivo inferiore
C0009324,"Inflammatory Bowel Disease, Ulcerative Colitis Type"
C0009324,Colitis Gravis
C0009324,Idiopathic Proctocolitis
C0009324,Colitis Ulcerative
C0009324,Colitis ulcerosa
C0009324,"Ulcerative colitis, unspecified"
C0009373,Colon
C0009373,Colonic Disease
C0009373,Colonic Diseases
C0009373,"Disease, Colonic"
C0009373,"Diseases, Colonic"
C0009373,colon disorder
C0009373,COLONIC DIS
C0009373,colonic disorder
C0009373,Colonic Diseases [Disease/Finding]
C0009373,disease colon
C0009373,colon diseases
C0009373,colonic diseases
C0009373,colons disease
C0009373,colon disorders
C0009373,disease of colon
C0009373,of colon disease
C0009373,disorder colon
C0009373,colon disease
C0009373,colonic disease
C0010346,Crohn Disease
C0010346,Crohn's Disease
C0010346,Crohns Disease
C0010346,Regional enteritis (Crohn's disease)
C0010346,CROHN DISEASE
C0010346,CROHN'S DISEASE
C0010346,Crohn's disease
C0010346,"INFLAMMATORY BOWEL DISEASE, REGIONAL ENTERITIS"
C0010346,DISEASE CROHNS
C0010346,IBD1
C0010346,CROHN DIS
C0010346,CROHNS DIS
C0010346,eleocolitis
C0010346,enteritis (regional)
C0010346,REGIONAL ENTERITIS
C0010346,Crohn Disease [Disease/Finding]
C0010346,crohn diseases
C0010346,Crohn's
C0010346,disease crohn
C0010346,crohn's diseases
C0010346,regional enteritis
C0010346,crohns diseases
C0010346,disease crohn's
C0010346,crohn s
C0010346,crohns disease
C0010346,crohns's disease
C0010346,enteritis regional
C0010346,granulomatous enteritis
C0010346,crohns's
C0010346,Crohn disease
C0010346,crohn s disease
C0010346,Regional Enteritis
C0010346,Inflammatory Bowel Disease 1
C0010346,Regional enteritis
C0010346,Maladie de Crohn
C0010346,Malattia di Crohn
C0010346,Crohn's Enteritis
C0010346,Morbus Crohn
C0010346,Granulomatous enteritis and colitis
C0010346,INFLAMMATORY BOWEL DISEASE (CROHN DISEASE) 1
C0010346,Crohn's disease NOS
C0011168,Deglutition Disorders
C0011168,"Disorders, Deglutition"
C0011168,Dysphagia
C0011168,DEGLUTITION DISORDER
C0011168,DISORDER DEGLUTITION
C0011168,DYSPHAGIA
C0011168,Deglutition Disorder
C0011168,SWALLOWING DIFFICULT
C0011168,SWALLOWING DIFFICULTY
C0011168,SWALLOWING DISORDER
C0011168,dysphagia
C0011168,DEGLUTITION DIS
C0011168,SWALLOWING DIS
C0011168,"Dysphagia, unspecified"
C0011168,Difficulty in swallowing NOS
C0011168,Dysphagia NOS
C0011168,Deglutition Disorders [Disease/Finding]
C0011168,Swallowing Disorders
C0011168,swallowing difficulty
C0011168,deglutition disorder
C0011168,deglutition disorders
C0011168,difficulty in swallowing
C0011168,swallowing disorder
C0011168,dysphagias
C0011168,difficult swallowing
C0011168,Swallowing difficulties (dysphagia)
C0011168,Poor swallowing
C0011168,Difficulty swallowing
C0011168,Swallowing difficulties
C0011168,Dysphagie
C0011168,Disfagia
C0011168,Swallowing disorder
C0011168,Deglutition disorders
C0011168,Swallowing difficulty
C0011168,Deglutition disorder
C0011168,Difficulty Swallowing
C0011168,Difficulties swallowing
C0011168,Swallowing Disorder
C0011334,Dental Caries
C0011334,TOOTH CARIES
C0011334,CARIES DENTAL
C0011334,DENTAL CARIES
C0011334,Dental caries
C0011334,TOOTH DECAY
C0011334,dental caries
C0011334,DECAY DENTAL
C0011334,Caries
C0011334,Carious teeth
C0011334,DENT CARIES
C0011334,DECAY DENT
C0011334,CARIES DENT
C0011334,DENT DECAY
C0011334,Tooth Decay
C0011334,tooth decay
C0011334,Dental caries NOS
C0011334,"Caries, Dental"
C0011334,Dental Caries [Disease/Finding]
C0011334,"Decay, Dental"
C0011334,Dental Decay
C0011334,saprodontia
C0011334,decaying tooth
C0011334,Dental cavities
C0011334,tooth cavity
C0011334,decayed teeth
C0011334,decay tooth
C0011334,decays tooth
C0011334,dental cavity
C0011334,dental decay
C0011334,tooth caries
C0011334,caries
C0011334,cavity
C0011334,Cavities
C0011334,Early dental caries
C0011334,Frequent caries
C0011334,Dental decay
C0011334,Tooth decay
C0011334,Cariosity of teeth
C0011334,Tooth cavities
C0011334,"Dental caries, unspecified"
C0012243,Digestive System Neoplasm
C0012243,Digestive System Neoplasms
C0012243,"Neoplasm, Digestive System"
C0012243,digestive neoplasm
C0012243,NEOPL DIGESTIVE SYSTEM
C0012243,DIGESTIVE SYSTEM NEOPL
C0012243,digestive system neoplasm
C0012243,Digestive neoplasm NOS
C0012243,Digestive System Neoplasms [Disease/Finding]
C0012243,"Neoplasms, Digestive System"
C0012243,Neoplasm of unspecified nature of digestive system
C0012813,Diverticulitides
C0012813,Diverticulitis
C0012813,DIVERTICULITIS
C0012813,Diverticulitis [Disease/Finding]
C0012813,diverticulitis
C0012813,Diverticulitis NOS
C0013295,Duodenal Ulcer
C0013295,Duodenal Ulcers
C0013295,"Ulcers, Duodenal"
C0013295,"DUODENUM, ULCER"
C0013295,DUODENAL ULCER
C0013295,DUODENAL ULCERATION
C0013295,"DUODENUM, PEPTIC ULCER"
C0013295,Duodenal ulcer
C0013295,ULCER DUODENAL
C0013295,"Ulcer, Duodenal"
C0013295,duodenal ulcer
C0013295,DUODENAL ULCER DISEASE
C0013295,DUODENALSAR
C0013295,POHJUKAISSUOLEN HAAVA
C0013295,SAR PA TOLVFINGERTARMEN
C0013295,Ulcera duodenale
C0013295,Ulcera duodenal
C0013295,Ulcere duodenal
C0013295,Ulcus duodeni
C0013295,ulcus duodeni
C0013295,DUODENO ULTZERA
C0013295,Duodenal Ulcer [Disease/Finding]
C0013295,kiv hatrisarion
C0013295,duodenal ulceration
C0013295,duodenum ulcer
C0013295,duodenum ulcers
C0013295,duodenal ulcers
C0013295,Duodenal ulcer (diagnosis)
C0013295,Ulcere duodenal (diagnostic)
C0013295,Ulcere duodenale
C0013295,Ulcera duodenale (diagnosi)
C0013298,Duodenitis
C0013298,DUODENITIS
C0013298,Duodenitis [Disease/Finding]
C0013298,duodenitis
C0013298,duodenitis nos
C0013395,Dyspepsia
C0013395,Dyspepsias
C0013395,DYSPEPSIA
C0013395,INDIGESTION
C0013395,indigestion
C0013395,dyspepsia
C0013395,Indigestions
C0013395,Dyspepsia [Disease/Finding]
C0013395,Indigestion
C0014335,Enteritides
C0014335,Enteritis
C0014335,ENTERITIS
C0014335,enteritis
C0014335,Small intestine inflammation
C0014335,Enteritis [Disease/Finding]
C0014335,enteritides
C0014356,Enterocolitides
C0014356,Enterocolitis
C0014356,ENTEROCOLITIS
C0014356,Enterocolitis [Disease/Finding]
C0014356,enterocolitis
C0014740,Erythema Chronicum Migrans
C0014740,Erythema chronicum migrans
C0014740,Erythema Chronicum Migrans [Disease/Finding]
C0014740,erythema migrans chronicum
C0014740,erythema chronicum migrans
C0014740,Bulls-Eye Rash
C0014740,Erythema Migrans
C0014740,Erythema migrans
C0014740,Bull's eye rash
C0014848,"Achalasias, Esophageal"
C0014848,Cardiospasm
C0014848,Cardiospasms
C0014848,Esophageal Achalasia
C0014848,Esophageal Achalasias
C0014848,ACHALASIA
C0014848,ACHALASIA CARDIAE
C0014848,CARDIOSPASM
C0014848,cardiospasm
C0014848,ACHALASIA ESOPHAGEAL
C0014848,achalasia
C0014848,Achalasia & cardiospasm
C0014848,Achalasias
C0014848,"Achalasia, Esophageal"
C0014848,Esophageal Achalasia [Disease/Finding]
C0014848,Achalasia
C0014848,achalasia esophagus
C0014848,achalasia cardiospasm
C0014848,achalasia cardia
C0014848,achalasia of esophagus
C0014848,cardiospasms
C0014848,esophageal achalasia
C0014848,esophagus achalasia
C0014848,Esophageal achalasia
C0014848,Achalasia of the esophagus
C0014848,Achalasia and cardiospasm
C0014848,Achalasia of cardia
C0014850,"Atresias, Esophageal"
C0014850,Esophageal Atresia
C0014850,Esophageal Atresias
C0014850,ATRESIA ESOPHAGUS
C0014850,ESOPHAGEAL ATRESIA
C0014850,"ESOPHAGUS, ATRESIA"
C0014850,OESOPHAGEAL ATRESIA
C0014850,esophageal atresia
C0014850,Esophageal atresia
C0014850,"Atresia, Esophageal"
C0014850,Esophageal Atresia [Disease/Finding]
C0014850,atresia of esophagus
C0014850,esophagus atresia
C0014850,atresia esophageal
C0014850,oesophageal atresia
C0014850,atresia esophagus
C0014850,Esophagus--Atresia
C0014850,Congenital Atresia of Esophagus
C0014850,Congenital Esophageal Atresia
C0014850,Atresia of esophagus
C0014850,Congenital imperforate esophagus
C0014852,Disease of esophagus
C0014852,"Disease, Esophageal"
C0014852,"Diseases, Esophageal"
C0014852,Esophageal Disease
C0014852,Esophageal Diseases
C0014852,Esophagus
C0014852,ESOPHAGEAL DISORDER
C0014852,esophagus disorder
C0014852,DISEASES OF ESOPHAGUS
C0014852,DISEASES OF OESOPHAGUS
C0014852,ESOPHAGEAL
C0014852,ESOPHAGEAL DIS
C0014852,esophageal disorder
C0014852,Doenca do esofago
C0014852,Enfermedades del esofago
C0014852,Erkrankung Oesophagus
C0014852,Maladie de l'oesophage
C0014852,Malattie dell'esofago
C0014852,RUOKATORVEN TAUTI
C0014852,SJUKDOM I MATSTRUPEN
C0014852,SYKDOM I SPISEROR
C0014852,Sygdom i spiseror
C0014852,Ziekte oesophagus
C0014852,nyelocso-betegseg
C0014852,Esophageal disorder NOS
C0014852,Esophageal disorders
C0014852,HESTEGORRIKO ERITASUNA
C0014852,Esophageal Diseases [Disease/Finding]
C0014852,disease oesophagus
C0014852,disorders oesophageal
C0014852,esophageal dysfunction
C0014852,esophagus disease
C0014852,esophagus diseases
C0014852,disease esophagus
C0014852,disease of oesophagus
C0014852,oesophageal disease
C0014852,diseases disorders esophagus
C0014852,esophageal disorders
C0014852,disease of esophagus
C0014852,diseases of oesophagus
C0014852,diseases of the esophagus
C0014852,esophageal disease
C0014852,diseases esophagus
C0014852,disorders esophagus
C0014852,esophageal diseases
C0014852,diseases of esophagus
C0014852,Esophagus Disorders
C0014852,Esophagus--Diseases
C0014852,Esophageal Disorder
C0014852,Diseases of esophagus
C0014852,Unspecified disorder of esophagus
C0014860,Esophageal Perforation
C0014860,Esophageal Perforations
C0014860,"Perforation, Esophageal"
C0014860,"Perforations, Esophageal"
C0014860,PERFORATION ESOPHAGUS
C0014860,ESOPHAGEAL PERFORATION
C0014860,ESOPHAGUS PERFORATION
C0014860,"ESOPHAGUS, PERFORATION"
C0014860,OESOPHAGEAL PERFORATION
C0014860,Perforation of esophagus
C0014860,Perforation Of Esophagus
C0014860,Esophageal Perforation [Disease/Finding]
C0014860,esophagus perforation
C0014860,perforation esophagus
C0014860,oesophageal perforation
C0014860,perforation of esophagus
C0014860,esophageal perforation
C0014860,Esophageal perforation
C0014860,"Esophagus, Perforation Of"
C0014860,Perforation of Esophagus
C0014863,Diffuse Esophageal Spasm
C0014863,Diffuse Esophageal Spasms
C0014863,"Esophageal Spasm, Diffuse"
C0014863,Esophageal Spasms
C0014863,"Esophageal Spasms, Diffuse"
C0014863,"Spasm, Diffuse Esophageal"
C0014863,"Spasms, Diffuse Esophageal"
C0014863,"Spasms, Esophageal"
C0014863,"ESOPHAGUS, SPASM"
C0014863,ESOPHAGEAL SPASM
C0014863,ESOPHAGOSPASM
C0014863,OESOPHAGOSPASM
C0014863,SPASM ESOPHAGEAL
C0014863,ESOPHAGEAL SPASM DIFFUSE
C0014863,"Spasm, Esophageal"
C0014863,Esophageal Spasm
C0014863,"Esophageal Spasm, Diffuse [Disease/Finding]"
C0014863,dysmotility esophageal
C0014863,esophageal spasm
C0014863,corkscrew esophagus
