ATUI,AUI,CNAME,CUI,CVF,DEF,SAB,SATUI,SUPPRESS,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 9
AT198005902,A7583590,,C0013227,,"A drug product that contains one or more active and/or inactive ingredients; it is intended to treat, prevent or alleviate the symptoms of disease. This term does not refer to the individual ingredients that make up the product.",NCI,,N,,,,,,,,,,,,,,,,
AT220107517,A21143921,,C0013227,,"<p>You may need to take medicines every day, or only once in a while. Either way, you want to make sure that the medicines are safe and will help you get better. In the United States, the Food and Drug Administration is in charge of assuring the <a href='https://medlineplus.gov/drugsafety.html'>safety</a> and effectiveness of both prescription and <a href='https://medlineplus.gov/overthecountermedicines.html'>over-the-counter medicines</a>.</p> <p>Even safe drugs can cause unwanted <a href='https://medlineplus.gov/drugreactions.html'>side effects or interactions</a> with food or other medicines you may be taking. They may not be safe during <a href='https://medlineplus.gov/pregnancyandmedicines.html'>pregnancy</a>. To reduce the risk of reactions and make sure that you get better, it is important for you to <a href='https://medlineplus.gov/medicationerrors.html'>take your medicines correctly</a> and be careful when giving medicines to <a href='https://medlineplus.gov/medicinesandchildren.html'>children</a>.</p>",MEDLINEPLUS,,N,,,,,,,,,,,,,,,,
AT38142125,A1047492,,C0013227,,"Drugs intended for human or veterinary use, presented in their finished dosage form. Included here are materials used in the preparation and/or formulation of the finished dosage form.",MSH,,N,,,,,,,,,,,,,,,,
AT51222055,A1883190,,C0013227,,"biologically active substance, including those intended for use in diagnosis, treatment, or prevention of disease or other abnormalities, for the relief of suffering, or control or improvement of a physical or mental state; includes biological products.",CSP,,N,,,,,,,,,,,,,,,,
AT38150112,A0135436,,C0018938,,Drugs that act on blood and blood-forming organs and those that affect the hemostatic system.,MSH,,N,,,,,,,,,,,,,,,,
AT51222265,A0318485,,C0018938,,"biologically active substance intended for use in diagnosis, treatment, or prevention of blood disorders.",CSP,,N,,,,,,,,,,,,,,,,
AT197957783,A7571021,,C0019134,,"A sulfur-rich glycosaminoglycan with anticoagulant property. Heparin binds to antithrombin III to form a heparin-antithrombin III complex. The complex binds to and irreversibly inactivates thrombin and other activated clotting factors, such as factors IX, X, XI, and XII, thereby preventing the polymerization of fibrinogen to fibrin and the subsequent formation of clots.",NCI,,N,,,,,,,,,,,,,,,,
AT198056929,A7571021,,C0019134,,"A substance that slows the formation of blood clots. Heparin is made by the liver, lungs, and other tissues in the body and can also made in the laboratory. Heparin may be injected into muscle or blood to prevent or break up blood clots. It is a type of anticoagulant.",NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT20134748,A0711327,,C0019134,,"Enzyme preparations are products that are used in the histopathology laboratory for the following purposes: (1) To disaggregate tissues and cells already in established cultures for preparation into subsequent cultures (e.g., trypsin); (2) To disaggregate fluid specimens for cytological examination (e.g., papain for gastric lavage or trypsin for sputum liquefaction); (3) To aid in the selective staining of tissue specimens (e.g., diastase for glycogen determination).",SPN,,N,,,,,,,,,,,,,,,,
AT38138347,A0067387,,C0019134,,"A highly acidic mucopolysaccharide formed of equal parts of sulfated D-glucosamine and D-glucuronic acid with sulfaminic bridges. The molecular weight ranges from six to twenty thousand. Heparin occurs in and is obtained from liver, lung, mast cells, etc., of vertebrates. Its function is unknown, but it is used to prevent blood clotting in vivo and vitro, in the form of many different salts.",MSH,,N,,,,,,,,,,,,,,,,
AT51220322,A0480761,,C0019134,,poly(glucosamine sulfate-glucuronic acid); endogenous mucopolysaccharide with antithrombin and lipotropic activities; USP injection is used as an anticoagulant.,CSP,,N,,,,,,,,,,,,,,,,
AT198139775,A7571811,,C0019139,,"Substances comprised of fragmented heparin molecules derived from unfractionated heparin that bind to antithrombin III with a molecular weight ranging from 1000 to 10,000 daltons, which causes changes in property from unfractionated heparin, including decreased protein binding, enhanced bioavailability, decreased platelet interaction, and decreased binding to thrombin.",NCI,,N,,,,,,,,,,,,,,,,
AT38135739,A0359748,,C0019139,,"Heparin fractions with a molecular weight usually between 4000 and 6000 kD. These low-molecular-weight fractions are effective antithrombotic agents. Their administration reduces the risk of hemorrhage, they have a longer half-life, and their platelet interactions are reduced in comparison to unfractionated heparin. They also provide an effective prophylaxis against postoperative major pulmonary embolism.",MSH,,N,,,,,,,,,,,,,,,,
AT43117820,A7759495,,C0019573,,A 65-residue polypeptide from LEECHES.,MSH,,N,,,,,,,,,,,,,,,,
AT38142689,A0102334,,C0032177,,"Drugs or agents which antagonize or impair any mechanism leading to blood platelet aggregation, whether during the phases of activation and shape change or following the dense-granule release reaction and stimulation of the prostaglandin-thromboxane system.",MSH,,N,,,,,,,,,,,,,,,,
AT51222763,A0319759,,C0032177,,"drugs or agents which antagonize or impair any mechanism leading to blood platelet aggregation, whether during the phases of activation and shape change or following the dense-granule release reaction and stimulation of the prostaglandin-thromboxane system.",CSP,,N,,,,,,,,,,,,,,,,
AT38154032,A0106365,,C0033621,,"A vitamin-K dependent zymogen present in the blood, which, upon activation by thrombin and thrombomodulin exerts anticoagulant properties by inactivating factors Va and VIIIa at the rate-limiting steps of thrombin formation.",MSH,,N,,,,,,,,,,,,,,,,
AT51220067,A0487478,,C0033621,,"vitamin-K dependent zymogen present in the blood, which, upon activation by thrombin and thrombomodulin exerts anticoagulant properties by inactivating factors Va and VIIIa at the rate-limiting steps of thrombin formation.",CSP,,N,,,,,,,,,,,,,,,,
AT198003212,A7570317,,C0206460,,A drug used to prevent blood clots. It belongs to the family of drugs called anticoagulants.,NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT198114000,A7570317,,C0206460,,"A low molecular weight, synthetic heparin. As an anticoagulant/antithrombotic agent, enoxaprin's mechanism of action is similar to that of heparin, although it exhibits a higher ratio of anti-Factor Xa to anti-Factor IIa activity. This agent also has anti-inflammatory properties, inhibiting monocyte adhesion to tumor necrosis factor alpha- or lipopolysaccharide-activated endothelial cells. Compared to unfractionated heparins, the use of enoxaparin is associated with lower incidences of osteoporosis and heparin-induced thrombocytopenia. (NCI04)",NCI,,N,,,,,,,,,,,,,,,,
AT38138020,A0054651,,C0206460,,"Low-molecular-weight fragment of heparin, having a 4-enopyranosuronate sodium structure at the non-reducing end of the chain. It is prepared by depolymerization of the benzylic ester of porcine mucosal heparin. Therapeutically, it is used as an antithrombotic agent. (From Merck Index, 11th ed)",MSH,,N,,,,,,,,,,,,,,,,
AT70649461,A4357667,,C0206460,,"A low molecular weight, synthetic heparin. As an anticoagulant/antithrombotic agent, enoxaprin's mechanism of action is similar to that of heparin, although it exhibits a higher ratio of anti-Factor Xa to anti-Factor IIa activity. This agent also has anti-inflammatory properties, inhibiting monocyte adhesion to tumor necrosis factor alpha- or lipopolysaccharide-activated endothelial cells. Compared to unfractionated heparins, the use of enoxaparin is associated with lower incidences of osteoporosis and heparin-induced thrombocytopenia. Check for ""http://www.cancer.gov/Search/ClinicalTrialsLink.aspx?id=37880&idtype=1"" active clinical trials or ""http://www.cancer.gov/Search/ClinicalTrialsLink.aspx?id=37880&idtype=1&closed=1"" closed clinical trials using this agent. (""http://nciterms.nci.nih.gov:80/NCIBrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C1452"" NCI Thesaurus)",PDQ,,N,,,,,,,,,,,,,,,,
AT197978164,A7578061,,C0206461,,A drug used to prevent blood clots from forming or to treat blood clots that have formed in patients with cancer or other conditions. Dalteparin is a type of anticoagulant.,NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT198003213,A7578061,,C0206461,,"A low molecular weight, synthetic heparin. As an anticoagulant/antithrombotic agent, dalteparin binds to antithrombin and enhances the inhibition of Factor Xa. Compared to unfractionated heparins, the use of dalteparin is associated with lower incidences of osteoporosis and heparin-induced thrombocytopenia. (NCI04)",NCI,,N,,,,,,,,,,,,,,,,
AT38136490,A8396368,,C0206461,,"A low-molecular-weight fragment of heparin, prepared by nitrous acid depolymerization of porcine mucosal heparin. The mean molecular weight is 4000-6000 daltons. It is used therapeutically as an antithrombotic agent. (From Merck Index, 11th ed)",MSH,,N,,,,,,,,,,,,,,,,
AT70647273,A4357661,,C0206461,,"A low molecular weight, synthetic heparin. As an anticoagulant/antithrombotic agent, dalteparin binds to antithrombin and enhances the inhibition of Factor Xa. Compared to unfractionated heparins, the use of dalteparin is associated with lower incidences of osteoporosis and heparin-induced thrombocytopenia. Check for ""http://www.cancer.gov/Search/ClinicalTrialsLink.aspx?id=43290&idtype=1"" active clinical trials or ""http://www.cancer.gov/Search/ClinicalTrialsLink.aspx?id=43290&idtype=1&closed=1"" closed clinical trials using this agent. (""http://nciterms.nci.nih.gov:80/NCIBrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C1453"" NCI Thesaurus)",PDQ,,N,,,,,,,,,,,,,,,,
AT198144059,A12792028,,C0003281,,Drug treatment to thin the blood in order to prevent or reduce blood clot formation.,NCI,,N,,,,,,,,,,,,,,,,
AT127397187,A18453870,,C0003440,,"Endogenous factors and drugs that directly inhibit the action of THROMBIN, usually by blocking its enzymatic activity. They are distinguished from INDIRECT THROMBIN INHIBITORS, such as HEPARIN, which act by enhancing the inhibitory effects of antithrombins.",MSH,,N,,,,,,,,,,,,,,,,
AT51223371,A0473776,,C0003440,,endogenous family of proteins belonging to the serpin superfamily that neutralizes the action of thrombin; includes fibrin and antithrombin III.,CSP,,N,,,,,,,,,,,,,,,,
AT148903962,A11583025,,C0005778,,"The sequential process in which the multiple coagulation factors of the blood interact, ultimately resulting in the formation of an insoluble fibrin clot; it may be divided into three stages: stage 1, the formation of intrinsic and extrinsic prothrombin converting principle; stage 2, the formation of thrombin; stage 3, the formation of stable fibrin polymers. [http://www.graylab.ac.uk/omd/, ISBN:0198506732]",GO,,N,,,,,,,,,,,,,,,,
AT198127106,A7641343,,C0005778,,Any of the sequential processes by which coagulation factors interact to form a fibrin clot.,NCI,,N,,,,,,,,,,,,,,,,
AT38147964,A0031542,,C0005778,,The process of the interaction of BLOOD COAGULATION FACTORS that results in an insoluble FIBRIN clot.,MSH,,N,,,,,,,,,,,,,,,,
AT51223551,A0474865,,C0005778,,process of the interaction of blood coagulation factors that results in an insoluble fibrin clot.,CSP,,N,,,,,,,,,,,,,,,,
AT198033223,A12812179,,C0033707,,A blood clotting measurement that evaluates the extrinsic pathway of coagulation.,NCI_CDISC,,N,,,,,,,,,,,,,,,,
AT198045451,A12812179,,C0033707,,"A measurement of the clotting time of plasma recalcified in the presence of excess tissue thromboplastin; it is a measure of the extrinsic pathway of coagulation. It is used to determine the clotting tendency of blood, in the measure of warfarin dosage, liver damage and vitamin K status. Factors measured are fibrinogen, prothrombin, and factors V, VII, and X.",NCI,,N,,,,,,,,,,,,,,,,
AT38140892,A0106811,,C0033707,,Clotting time of PLASMA recalcified in the presence of excess TISSUE THROMBOPLASTIN. Factors measured are FIBRINOGEN; PROTHROMBIN; FACTOR V; FACTOR VII; and FACTOR X. It is used for monitoring anticoagulant therapy with COUMARINS.,MSH,,N,,,,,,,,,,,,,,,,
AT51220474,A0487576,,C0033707,,clotting time of plasma recalcified in the presence of excess tissue thromboplastin; used for monitoring anticoagulant therapy with coumarins.,CSP,,N,,,,,,,,,,,,,,,,
AT38133794,A7785822,,C0581800,,Antithrombin I refers to the capacity of fibrin to absorb or occlude thrombin and thus neutralize (but not inactivate) it.,MSH,,N,,,,,,,,,,,,,,,,
AT148902158,A26983710,,C1148561,,OBSOLETE. Functions to retard or prevent coagulation. Often used in the context of blood or milk coagulation. [ISBN:0198506732],GO,,N,,,,,,,,,,,,,,,,
AT197953362,A7637368,,C0005889,,"Material produced by living organisms; it can be a necessary constituent of, or product of an organismal process.",NCI,,N,,,,,,,,,,,,,,,,
AT198076993,A7637368,,C0005889,,Liquid substances produced by the body.,NCI_CDISC,,N,,,,,,,,,,,,,,,,
AT218910227,A27032549,,C0005889,,"Portion of body substance which has as its parts of a mixture of fluid, solutes and particles.",FMA,,N,,,,,,,,,,,,,,,,
AT38151527,A0031855,,C0005889,,Liquid components of living organisms.,MSH,,N,,,,,,,,,,,,,,,,
AT51223444,A0474911,,C0005889,,liquid components of living organisms.,CSP,,N,,,,,,,,,,,,,,,,
AT103039180,A15384914,,C0009780,,"Tissue which consists of fibroblasts, osteocytes or chondrocytes and intercellular matrix produced by these cells. Examples: bone (tissue), dense regular elastic tissue, areolar tissue, neuroglia, adipose tissue.",FMA,,N,,,,,,,,,,,,,,,,
AT18955420,A0402516,,C0009780,,"Tissue which consists of fibroblasts, osteocytes or chondrocytes and intercellular matrix produced by these cells. Examples: bone (tissue), dense regular elastic tissue, areolar tissue, neuroglia, adipose tissue.",UWDA,,N,,,,,,,,,,,,,,,,
AT198027810,A7569749,,C0009780,,"Supporting tissue that surrounds other tissues and organs. Specialized connective tissue includes bone, cartilage, blood, and fat.",NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT198027811,A7569749,,C0009780,,"The supporting or framework tissue of the animal body, formed of fibrous and ground substance with more or less numerous cells of various kinds; it is derived from the mesenchyme, and this in turn from the mesoderm; the varieties of connective tissue are: areolar or loose; adipose; dense, regular or irregular, white fibrous; elastic; mucous; and lymphoid tissue; cartilage; and bone; the blood and lymph may be regarded as connective tissues the ground substance of which is a liquid.",NCI,,N,,,,,,,,,,,,,,,,
AT210371760,A7569749,,C0009780,,"Supporting tissue that surrounds other tissues and organs. Specialized connective tissue includes bone, cartilage, blood, and fat.",NCI_NICHD,,N,,,,,,,,,,,,,,,,
AT224197189,A7569749,,C0009780,,"The supporting or framework tissue of the body, formed of fibrous and ground substance with a variety of cell types. The varieties of connective tissue are: areolar or loose; adipose; dense, regular or irregular, white fibrous; elastic; mucous; lymphoid tissue; cartilage; bone.",NCI_CDISC,,N,,,,,,,,,,,,,,,,
AT38150456,A0042215,,C0009780,,Tissue that supports and binds other tissues. It consists of CONNECTIVE TISSUE CELLS embedded in a large amount of EXTRACELLULAR MATRIX.,MSH,,N,,,,,,,,,,,,,,,,
AT51218950,A0476646,,C0009780,,tissue that supports and binds other tissues; consists of connective tissue cells embedded in a large amount of extracellular matrix.,CSP,,N,,,,,,,,,,,,,,,,
AT198101585,A7570996,,C0018957,,"The bodily system of organs and tissues, primarily the bone marrow, spleen, tonsils, and lymph nodes, involved in the production of blood.",NCI,,N,,,,,,,,,,,,,,,,
AT208114635,A0066835,,C0018957,,"The blood-making organs and tissues, principally the bone marrow and lymph nodes.",MSH,,N,,,,,,,,,,,,,,,,
AT38138937,A0135437,,C0018980,,"Organs involved in the production of BLOOD, including the cellular and the molecular components essential in providing defense against foreign organisms or substances.",MSH,,N,,,,,,,,,,,,,,,,
AT197965432,A7573068,,C0005821,,"An irregular, disc-shaped structure in the blood that assists in blood clotting. Platelets are not blood cells, they are fragments of large bone marrow cells called megakaryocytes. (NCI)",NCI_CDISC,,N,,,,,,,,,,,,,,,,
AT198002981,A7573068,,C0005821,,"An irregular, disc-shaped element in the blood that assists in blood clotting. Platelets are not blood cells, they are fragments of large bone marrow cells called megakaryocytes.",NCI,,N,,,,,,,,,,,,,,,,
AT198126203,A7573068,,C0005821,,A tiny piece of a cell found in the blood that breaks off from a large cell found in the bone marrow. Platelets help wounds heal and prevent bleeding by forming blood clots.,NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT38138543,A0031629,,C0005821,,Non-nucleated disk-shaped cells formed in the megakaryocyte and found in the blood of all mammals. They are mainly involved in blood coagulation.,MSH,,N,,,,,,,,,,,,,,,,
AT51219009,A0486751,,C0005821,,"non-nucleated disk shaped cells formed in the megakaryocyte and found in the blood of all mammals; they are mainly involved in blood coagulation, and have a role in inflammation.",CSP,,N,,,,,,,,,,,,,,,,
AT38133358,A0031657,,C0005832,,"Proteins that are present in blood serum, including SERUM ALBUMIN; BLOOD COAGULATION FACTORS; and many other types of proteins.",MSH,,N,,,,,,,,,,,,,,,,
AT51220374,A0248503,,C0005832,,protein present in blood serum or plasma.,CSP,,N,,,,,,,,,,,,,,,,
AT130671467,A18630548,,C0032105,,"The clear, yellowish fluid portion of blood, lymph, or intramuscular fluid",CHV,,N,,,,,,,,,,,,,,,,
AT130671468,A18667777,,C0032105,,"The clear, yellowish fluid portion of blood, lymph, or intramuscular fluid",CHV,,N,,,,,,,,,,,,,,,,
AT18955418,A2654331,,C0032105,,"Body substance in liquid state contained in the lumen of arterial and venous trees, blood capillary and the cardiac chambers; constitutes the liquid phase of blood.",UWDA,,N,,,,,,,,,,,,,,,,
AT198003085,A7573051,,C0032105,,"The clear, yellowish, fluid part of the blood that carries the blood cells. The proteins that form blood clots are in plasma.",NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT198101622,A7573051,,C0032105,,"Plasma is the fluid (noncellular) portion of the circulating blood, as distinguished from the serum that is the fluid portion of the blood obtained by removal of the fibrin clot and blood cells after coagulation.",NCI,,N,,,,,,,,,,,,,,,,
AT224185162,A7573051,,C0032105,,The fluid (acellular) portion of the circulating blood with retained clotting components.,NCI_CDISC,,N,,,,,,,,,,,,,,,,
AT38134763,A0102144,,C0032105,,The residual portion of BLOOD that is left after removal of BLOOD CELLS by CENTRIFUGATION without prior BLOOD COAGULATION.,MSH,,N,,,,,,,,,,,,,,,,
AT51225366,A0486704,,C0032105,,fluid portion of the blood in which particulate components are suspended.,CSP,,N,,,,,,,,,,,,,,,,
AT198027823,A7569152,,C0229664,,"A liquid tissue with the primary function of transporting oxygen and carbon dioxide. It supplies the tissues with nutrients, removes waste products, and contains various components of the immune system defending the body against infection.",NCI_CDISC,,N,,,,,,,,,,,,,,,,
AT198126197,A7569152,,C0229664,,"A tissue with red blood cells, white blood cells, platelets, and other substances suspended in fluid called plasma. Blood takes oxygen and nutrients to the tissues, and carries away wastes.",NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT198138520,A7569152,,C0229664,,"A liquid tissue; its major function is to transport oxygen throughout the body. It also supplies the tissues with nutrients, removes waste products, and contains various components of the immune system defending the body against infection. Several hormones also travel in the blood.",NCI,,N,,,,,,,,,,,,,,,,
AT18955216,A2655000,,C0229671,,Body substance derived from plasma by the elimination of fibrinogen.,UWDA,,N,,,,,,,,,,,,,,,,
AT198040248,A7577195,,C0229671,,The clear portion of the blood that remains after the removal of the blood cells and the clotting proteins. (NCI),NCI_CDISC,,N,,,,,,,,,,,,,,,,
AT198101617,A7577195,,C0229671,,The clear portion of the blood that remains after the removal of the blood cells and the clotting proteins.,NCI,,N,,,,,,,,,,,,,,,,
AT198138629,A7577195,,C0229671,,The clear liquid part of the blood that remains after blood cells and clotting proteins have been removed.,NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT218910289,A27041867,,C0229671,,Body substance derived from plasma by the elimination of fibrinogen. Portion of body fluid solution which has as its parts serum fluid and serum protein.,FMA,,N,,,,,,,,,,,,,,,,
AT38143370,A2783447,,C0229671,,The clear portion of BLOOD that is left after BLOOD COAGULATION to remove BLOOD CELLS and clotting proteins.,MSH,,N,,,,,,,,,,,,,,,,
AT51222812,A1203214,,C0229671,,clear liquid that separates from blood on clotting; blood plasma from which fibrinogen has been removed in the process of clotting.,CSP,,N,,,,,,,,,,,,,,,,
AT38140372,A3879709,,C0005768,,"Used for the presence or analysis of substances in the blood; also for examination of, or changes in, the blood in disease states. It excludes serodiagnosis, for which the subheading ""diagnosis"" is used, and serology, for which ""immunology"" is used.",MSH,,N,,,,,,,,,,,,,,,,
AT144247788,A8321885,,C0005770,,"<p>An institution (organization or distinct part thereof) that performs, or is responsible for the performance of, the collection, processing, storage and/or issuance of human blood and blood components, intended for transfusion. The institution may also collect, process, and/or distribute human tissue, including bone marrow and peripheral blood progenitor cells, intended for transplantation.</p>",HL7V3.0,,N,,,,,,,,,,,,,,,,
AT197982106,A10760224,,C0005770,,"An establishment that collects, tests, processes, and stores blood and its components intended for transfusion or for further manufacture into products used for biological therapies.",NCI,,N,,,,,,,,,,,,,,,,
AT218001080,A0031509,,C0005770,,"Centers for collecting, characterizing and storing blood or plasma.",MSH,,N,,,,,,,,,,,,,,,,
AT32352257,A0474854,,C0005770,,"centers for collecting, characterizing, preserving and storing human blood.",CSP,,N,,,,,,,,,,,,,,,,
AT208122261,A0031519,,C0005774,,An examination of chemicals in the blood.,MSH,,N,,,,,,,,,,,,,,,,
AT51225384,A0248501,,C0005774,,chemical analysis of specific components of blood.,CSP,,N,,,,,,,,,,,,,,,,
AT38153437,A0031563,,C0005790,,Laboratory tests for evaluating the individual's clotting mechanism.,MSH,,N,,,,,,,,,,,,,,,,
AT51221985,A0474870,,C0005790,,laboratory tests for evaluating the individual's blood clotting mechanisms.,CSP,,N,,,,,,,,,,,,,,,,
AT198035063,A16765961,,C0005810,,A classification of blood based on the presence or absence of inherited antigenic substances on the surface of erythrocytes.,NCI,,N,,,,,,,,,,,,,,,,
AT38133145,A7756722,,C0005810,,The classification systems (or schemes) based on the different ANTIGENS located on ERYTHROCYTES.,MSH,,N,,,,,,,,,,,,,,,,
AT51221031,A0474874,,C0005810,,classification systems (or schemes) of the different antigens located on erythrocytes; the antigens are the phenotypic expression of the genetic differences characteristic of specific blood groups.,CSP,,N,,,,,,,,,,,,,,,,
AT198015591,A7569162,,C0005841,,"The infusion of components of blood or whole blood into the bloodstream. The blood may be donated from another person, or it may have been taken from the person earlier and stored until needed.",NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT198064806,A7569162,,C0005841,,The injection of whole blood or a blood component directly into the bloodstream.,NCI,,N,,,,,,,,,,,,,,,,
AT38138364,A0031680,,C0005841,,"The introduction of whole blood or blood component directly into the blood stream. (Dorland, 27th ed)",MSH,,N,,,,,,,,,,,,,,,,
AT51223892,A0474888,,C0005841,,introduction of whole blood or blood component directly into the blood stream.,CSP,,N,,,,,,,,,,,,,,,,
AT230068735,A28596776,,C0005850,,The total volume of blood in the circulatory system of an individual.,NCI,,N,,,,,,,,,,,,,,,,
AT38150477,A0031700,,C0005850,,Volume of circulating BLOOD. It is the sum of the PLASMA VOLUME and ERYTHROCYTE VOLUME.,MSH,,N,,,,,,,,,,,,,,,,
AT51221909,A0474901,,C0005850,,"volume of circulating blood, the sum of the plasma volume and erythrocyte volume.",CSP,,N,,,,,,,,,,,,,,,,
AT38151318,A0031739,,C0005857,,"Puncture of a vein to draw blood for therapeutic purposes. Bloodletting therapy has been used in Talmudic and Indian medicine since the medieval time, and was still practiced widely in the 18th and 19th centuries. Its modern counterpart is PHLEBOTOMY.",MSH,,N,,,,,,,,,,,,,,,,
AT197965421,A7569177,,C0005953,,"The soft, sponge-like tissue in the center of most bones. It produces white blood cells, red blood cells, and platelets.",NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT197990551,A7569177,,C0005953,,"The tissue occupying the spaces of bone. It consists of blood vessel sinuses and a network of hematopoietic cells which give rise to the red cells, white cells, and megakaryocytes.",NCI,,N,,,,,,,,,,,,,,,,
AT224196138,A7569177,,C0005953,,The tissue occupying the spaces of some bones. It consists of blood vessel sinuses and a network of hematopoietic cells.,NCI_CDISC,,N,,,,,,,,,,,,,,,,
AT38149246,A0032003,,C0005953,,"The soft tissue filling the cavities of bones. Bone marrow exists in two types, yellow and red. Yellow marrow is found in the large cavities of large bones and consists mostly of fat cells and a few primitive blood cells. Red marrow is a hematopoietic tissue and is the site of production of erythrocytes and granular leukocytes. Bone marrow is made up of a framework of connective tissue containing branching fibers with the frame being filled with marrow cells.",MSH,,N,,,,,,,,,,,,,,,,
AT51219796,A0474941,,C0005953,,"soft tissue filling the cavities of bones; exists in two types, yellow and red; yellow marrow is found in the large cavities of large bones and consists mostly of fat cells and a few primitive blood cells; red marrow is a hematopoietic tissue and is the site of production of erythrocytes and granular leukocytes; bone marrow is made up of a framework of connective tissue containing branching fibers with the frame being filled with marrow cells.",CSP,,N,,,,,,,,,,,,,,,,
AT218001091,A0032008,,C0005956,,Diseases involving the BONE MARROW.,MSH,,N,,,,,,,,,,,,,,,,
AT220001357,A7631688,,C0005956,,Any disease of the bone marrow.,NCI,,N,,,,,,,,,,,,,,,,
AT220105763,A21144490,,C0005956,,"<p>Bone marrow is the spongy tissue inside some of your bones, such as your hip and thigh bones. It contains <a href='https://medlineplus.gov/stemcells.html'>stem cells</a>. The stem cells can develop into the red blood cells that carry oxygen through your body, the white blood cells that fight infections, and the platelets that help with blood clotting.</p> <p>With bone marrow disease, there are problems with the stem cells or how they develop:</p> <ul> <li>In <a href='https://medlineplus.gov/leukemia.html'>leukemia</a>, a cancer of the blood, the bone marrow makes abnormal white blood cells</li> <li>In <a href='https://medlineplus.gov/aplasticanemia.html'>aplastic anemia</a>, the bone marrow doesn't make red blood cells</li> <li>In myeloproliferative disorders, the bone marrow makes too many white blood cells</li> <li>Other diseases, such as <a href='https://medlineplus.gov/lymphoma.html'>lymphoma</a>, can spread into the bone marrow and affect the production of blood cells</li> </ul> <p>Causes of bone marrow diseases include genetics and environmental factors. Tests for bone marrow diseases include <a href='https://medlineplus.gov/bloodcounttests.html'>blood</a> and bone marrow tests. Treatments depend on the disorder and how severe it is. They might involve medicines, <a href='https://medlineplus.gov/bloodtransfusionanddonation.html'>blood transfusions</a> or a <a href='https://medlineplus.gov/bonemarrowtransplantation.html'>bone marrow transplant</a>.</p>",MEDLINEPLUS,,N,,,,,,,,,,,,,,,,
AT51223991,A0248511,,C0005956,,condition in which there is a deviation from or interruption of the normal structure or function of the bone marrow.,CSP,,N,,,,,,,,,,,,,,,,
AT197965447,A7569343,,C0007226,,"The system that contains the heart and the blood vessels and moves blood throughout the body. This system helps tissues get enough oxygen and nutrients, and it helps them get rid of waste products. The lymph system, which connects with the blood system, is often considered part of the circulatory system.",NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT198113813,A7569343,,C0007226,,Relating to the heart and the blood vessels or the circulation.,NCI,,N,,,,,,,,,,,,,,,,
AT219998605,A7569343,,C0007226,,A collection of organs including the heart and the blood vessels.,NCI_CDISC,,N,,,,,,,,,,,,,,,,
AT228982586,A15459513,,C0007226,,"Organ system which consists of heart, systemic and pulmonary arterial and trees, and lymphatic and portal venous trees and body substance contained within.",FMA,,N,,,,,,,,,,,,,,,,
AT38135343,A0035256,,C0007226,,The HEART and the BLOOD VESSELS by which BLOOD is pumped and circulated through the body.,MSH,,N,,,,,,,,,,,,,,,,
AT51222905,A0475477,,C0007226,,"bodily system consisting of the heart, blood vessels, and blood that circulates blood throughout the body, delivers nutrients and other essential materials to cells, and removes waste products.",CSP,,N,,,,,,,,,,,,,,,,
AT197954730,A7569154,,C0009555,,"The determination of the number of red blood cells, white blood cells, and platelets in a blood sample.",NCI,,N,,,,,,,,,,,,,,,,
AT197992071,A7569154,,C0009555,,"A test to check the number of red blood cells, white blood cells, and platelets in a sample of blood.",NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
