CUI	AUI	ATUI	SATUI	SAB	DEF	SUPPRESS	CVF	cui2								
C0085207	A24680964	AT206292154	NULL	HPO	Maternal diabetes can either be a gestational, mostly type 2 diabetes, or a type 1 diabetes. Essential is the resulting maternal hyperglycemia as a non-specific teratogen, imposing the same risk of congenital malformations to pregnant women with both type 1 and type2 diabetes. [HPO:curators]	N	NULL	C0085207								
C0085207	A24380764	AT210375694	NULL	NCI_NICHD	Carbohydrate intolerance first diagnosed during pregnancy.	N	NULL	C0085207								
C0085207	A21143774	AT220105134	NULL	MEDLINEPLUS	<p><a href='https://medlineplus.gov/diabetes.html'>Diabetes</a> is a disease in which your blood glucose, or <a href='https://medlineplus.gov/bloodsugar.html'>blood sugar</a>, levels are too high. When you are <a href='https://medlineplus.gov/pregnancy.html'>pregnant</a>, high blood sugar levels are not good for your baby.</p> <p>About seven out of every 100 pregnant women in the United States get gestational diabetes. Gestational diabetes is diabetes that happens for the first time when a woman is pregnant. Most of the time, it goes away after you have your baby. But it does increase your risk for developing type 2 diabetes later on. Your child is also at risk for obesity and type 2 diabetes.</p> <p>Most women get a test to check for diabetes during their second trimester of pregnancy. Women at higher risk may get a test earlier.</p> <p>If you already have diabetes, the best time to control your blood sugar is before you get pregnant. High blood sugar levels can be harmful to your baby during the first weeks of pregnancy - even before you know you are pregnant. To keep you and your baby healthy, it is important to keep your blood sugar as close to normal as possible before and during pregnancy.</p> <p>Either type of diabetes during pregnancy increases the chances of problems for you and your baby. To help lower the chances talk to your health care team about</p> <ul> <li>A meal plan for your pregnancy</li> <li>A safe exercise plan</li> <li>How often to test your blood sugar</li> <li>Taking your <a href='https://medlineplus.gov/diabetesmedicines.html'>medicine</a> as prescribed. Your medicine plan may need to change during pregnancy.</li> </ul> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>	N	NULL	C0085207								
C0085207	A24380764	AT230077160	NULL	NCI	Carbohydrate intolerance first diagnosed during pregnancy.	N	NULL	C0085207								
C0085207	A0047904	AT43117007	NULL	MSH	Diabetes mellitus induced by PREGNANCY but resolved at the end of pregnancy. It does not include previously diagnosed diabetics who become pregnant (PREGNANCY IN DIABETICS). Gestational diabetes usually develops in late pregnancy when insulin antagonistic hormones peaks leading to INSULIN RESISTANCE; GLUCOSE INTOLERANCE; and HYPERGLYCEMIA.	N	NULL	C0085207								
C0085207	A0479883	AT51219030	NULL	CSP	glucose intolerance which onsets during pregnancy; does not include diabetics who become pregnant or women who become lactosuric; after pregnancy, the woman is reclassified as diabetic or not depending on whether glucose intolerance persists.	N	NULL	C0085207								
C0149670	A20242844	AT198025466	NULL	NCI	An inherited or acquired disorder that affects the metabolism of the carbohydrates. Representative examples include diabetes mellitus, glycogen storage disease, mucopolysaccharidoses, and lactose intolerance.	N	NULL	C0149670								
C0149670	A27392701	AT220104354	NULL	MEDLINEPLUS	<p>Metabolism is the process your body uses to make energy from the food you eat. Food is made up of proteins, carbohydrates, and fats. Chemicals in your digestive system (enzymes) break the food parts down into sugars and acids, your body's fuel. Your body can use this fuel right away, or it can store the energy in your body tissues. If you have a <a href='https://medlineplus.gov/metabolicdisorders.html'>metabolic disorder</a>, something goes wrong with this process.</p> <p>Carbohydrate metabolism disorders are a group of metabolic disorders. Normally your enzymes break <a href='https://medlineplus.gov/carbohydrates.html'>carbohydrates</a> down into glucose (a type of sugar). If you have one of these disorders, you may not have enough enzymes to break down the carbohydrates. Or the enzymes may not work properly. This causes a harmful amount of sugar to build up in your body. That can lead to health problems, some of which can be serious. Some of the disorders are fatal.</p> <p>These disorders are inherited. Newborn babies get <a href='https://medlineplus.gov/newbornscreening.html'>screened</a> for many of them, using blood tests. If there is a family history of one of these disorders, parents can get <a href='https://medlineplus.gov/genetictesting.html'>genetic testing</a> to see whether they carry the gene. Other genetic tests can tell whether the fetus has the disorder or carries the gene for the disorder.</p> <p>Treatments may include special diets, supplements, and medicines. Some babies may also need additional treatments, if there are complications. For some disorders, there is no cure, but treatments may help with symptoms.</p>	N	NULL	C0149670								
C0271633	A7594202	AT198115244	NULL	NCI	A non-neoplastic or neoplastic disorder that affects the endocrine pancreatic tissue (islets of Langerhans). Representative examples include diabetes mellitus and neuroendocrine neoplasms.	N	NULL	C0271633								
C0271633	A1188560	AT51219204	NULL	CSP	deviation from or interruption of the normal structure or function of the pancreatic islet.	N	NULL	C0271633								
C0152020	A17699587	AT197960983	NULL	NCI_CTCAE	A disorder characterized by an incomplete paralysis of the muscles of the stomach wall resulting in delayed emptying of the gastric contents into the small intestine.	N	NULL	C0152020								
C0152020	A17699587	AT198121693	NULL	NCI	Paralysis of the muscles of the stomach wall resulting in delayed emptying of the gastric contents into the small intestine.	N	NULL	C0152020								
C0152020	A24670954	AT206286040	NULL	HPO	Decreased strength of the Muscle layer of stomach, which leads to a decreased ability to empty the contents of the stomach despite the absence of obstruction. [HPO:probinson]	N	NULL	C0152020								
C0152020	A17699587	AT210375747	NULL	NCI_NICHD	Paralysis of the muscles of the stomach wall resulting in delayed emptying of the gastric contents into the small intestine.	N	NULL	C0152020								
C0152020	A0416384	AT43117142	NULL	MSH	Chronic delayed gastric emptying. Gastroparesis may be caused by motor dysfunction or paralysis of STOMACH muscles or may be associated with other systemic diseases such as DIABETES MELLITUS.	N	NULL	C0152020								
C0342245	A17697790	AT198073026	NULL	NCI	A group of disorders affecting the eye in patients with diabetes mellitus. It includes cataract, glaucoma, retinopathy, and blindness.	N	NULL	C0342245								
C0342245	A21143779	AT220107282	NULL	MEDLINEPLUS	<p>If you have <a href='https://medlineplus.gov/diabetes.html'>diabetes</a>, your blood glucose, or <a href='https://medlineplus.gov/bloodsugar.html'>blood sugar</a>, levels are too high. Over time, this can damage your eyes. The most common problem is diabetic retinopathy. It is a leading cause of blindness in American adults.</p> <p>Your retina is the light-sensitive tissue at the back of your eye. You need a healthy retina to see clearly. Diabetic retinopathy damages the tiny blood vessels inside your retina.</p> <p>You may not notice it at first. Symptoms can include</p> <ul> <li>Blurry or double vision</li> <li>Rings, flashing lights, or blank spots</li> <li>Dark or floating spots</li> <li>Pain or pressure in one or both of your eyes</li> <li>Trouble seeing things out of the corners of your eyes</li> </ul> <p>Treatment often includes laser treatment or surgery, with follow-up care.</p> <p>Two other eye problems can happen to people with diabetes. A <a href='https://medlineplus.gov/cataract.html'>cataract</a> is a cloud over the lens of your eye. Surgery helps you see clearly again. <a href='https://medlineplus.gov/glaucoma.html'>Glaucoma</a> happens when pressure builds up in the eye, damaging the main nerve. Eye drops or surgery can help.</p> <p>If you have diabetes, you should have a complete eye exam every year. Finding and treating problems early may save your vision. </p> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>	N	NULL	C0342245								
C0011854	A24672588	AT206290605	NULL	HPO	A chronic condition in which the pancreas produces little or no insulin. Type I diabetes mellitus is manifested by the sudden onset of severe hyperglycemia with rapid progression to diabetic ketoacidosis unless treated with insulin. [HPO:probinson]	N	NULL	C0011854								
C0011854	A21144548	AT220103000	NULL	MEDLINEPLUS	<p><a href='https://medlineplus.gov/diabetes.html'>Diabetes</a> means your blood glucose, or <a href='https://medlineplus.gov/bloodsugar.html'>blood sugar</a>, levels are too high. With type 1 diabetes, your pancreas does not make insulin. Insulin is a hormone that helps glucose get into your cells to give them energy. Without insulin, too much glucose stays in your blood. Over time, high blood glucose can lead to <a href='https://medlineplus.gov/diabetescomplications.html'>serious problems</a> with your <a href='https://medlineplus.gov/diabeticheartdisease.html'>heart</a>, <a href='https://medlineplus.gov/diabeticeyeproblems.html'>eyes</a>, <a href='https://medlineplus.gov/diabetickidneyproblems.html'>kidneys</a>, <a href='https://medlineplus.gov/diabeticnerveproblems.html'>nerves</a>, and gums and teeth. </p> <p>Type 1 diabetes happens most often in <a href='https://medlineplus.gov/diabetesinchildrenandteens.html'>children</a> and young adults but can appear at any age. Symptoms may include</p> <ul> <li> Being very thirsty </li> <li> Urinating often </li> <li> Feeling very hungry or tired </li> <li> Losing weight without trying </li> <li> Having sores that heal slowly </li> <li> Having dry, itchy skin </li> <li> Losing the feeling in your feet or having tingling in your feet </li> <li> Having blurry eyesight </li> </ul> <p>A blood test can show if you have diabetes. If you do, you will need to take <a href='https://medlineplus.gov/diabetesmedicines.html'>insulin</a> for the rest of your life. A blood test called the <a href='https://medlineplus.gov/a1c.html'>A1C</a> can check to see how well you are managing your diabetes.</p> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>	N	NULL	C0011854								
C0011854	A15565577	AT224191658	NULL	NCI_NICHD	Diabetes mellitus caused by cell-mediated autoimmune destruction of pancreatic beta cells.	N	NULL	C0011854								
C0011854	A15565577	AT230078784	NULL	NCI	A chronic condition characterized by minimal or absent production of insulin by the pancreas.	N	NULL	C0011854								
C0011854	A6954645	AT38143069	NULL	MSH	A subtype of DIABETES MELLITUS that is characterized by INSULIN deficiency. It is manifested by the sudden onset of severe HYPERGLYCEMIA, rapid progression to DIABETIC KETOACIDOSIS, and DEATH unless treated with insulin. The disease may occur at any age, but is most common in childhood or adolescence.	N	NULL	C0011854								
C0011854	A0481869	AT51224643	NULL	CSP	subtype of diabetes mellitus that is characterized by insulin deficiency; it is manifested by the sudden onset of severe hyperglycemia, rapid progression to diabetic ketoacidosis, and death unless treated with insulin; the disease may occur at any age, but is most common in childhood or adolescence.	N	NULL	C0011854								
C0028715	A0135468	AT64676892	NULL	MSH	A collective term for nutritional disorders resulting from poor absorption or nutritional imbalance, and metabolic disorders resulting from defects in biosynthesis (ANABOLISM) or breakdown (CATABOLISM) of endogenous substances.	N	NULL	C0028715								
C0036413	A17683534	AT197999161	NULL	NCI	A usually benign and self-limited skin disorder of unknown etiology, characterized by induration of the skin. It may be associated with infection, diabetes mellitus, and hematologic malignancies. Morphologically, there is deposition of mucin in the dermis.	N	NULL	C0036413								
C0036413	A0114642	AT38146846	NULL	MSH	A diffuse, non-pitting induration of the skin of unknown etiology that occurs most commonly in association with diabetes mellitus, predominantly in females. It typically begins on the face or head and spreads to other areas of the body, sometimes involving noncutaneous tissues. Often it is preceded by any of various infections, notably staphylococcal infections. The condition resolves spontaneously, usually within two years of onset. (From Dorland, 27th ed)	N	NULL	C0036413								
C0036413	A0319965	AT51219504	NULL	CSP	diffuse, symmetrical, wooden, nonpitting hardening of the skin; etiology unknown; usually begins on the face, head, or neck and spreads to the shoulders, arms, and chest; usually preceded by a staphylococcal or other infection.	N	NULL	C0036413								
C0271646	A1187519	AT51223099	NULL	CSP	diabetes mellitus caused by medicinal substances given to or taken by the patient; concept excludes diabetes resulting from exposure to nonmedicinal chemicals in the environment or drugs of abuse, for which see TOXICOLOGY.	N	NULL	C0271646								
C0011860	A15569871	AT198090416	NULL	NCI	A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.	N	NULL	C0011860								
C0011860	A24666814	AT206289120	NULL	HPO	A type of diabetes mellitus initially characterized by insulin resistance and hyperinsulinemia and subsequently by glucose interolerance and hyperglycemia. [HPO:probinson]	N	NULL	C0011860								
C0011860	A15569871	AT224189239	NULL	NCI_NICHD	Diabetes mellitus caused by decreased insulin action in target tissues and insufficient production of insulin by pancreatic beta cells.	N	NULL	C0011860								
C0011860	A21142977	AT230154061	NULL	MEDLINEPLUS	<p><a href='https://medlineplus.gov/diabetes.html'>Diabetes</a> means your blood glucose, or <a href='https://medlineplus.gov/bloodsugar.html'>blood sugar</a>, levels are too high. With type 2 diabetes, the more common type, your body does not make or use insulin well. Insulin is a hormone that helps glucose get into your cells to give them energy. Without insulin, too much glucose stays in your blood. Over time, high blood glucose can lead to <a href='https://medlineplus.gov/diabetescomplications.html'>serious problems</a> with your <a href='https://medlineplus.gov/diabeticheartdisease.html'>heart</a>, <a href='https://medlineplus.gov/diabeticeyeproblems.html'>eyes</a>, <a href='https://medlineplus.gov/diabetickidneyproblems.html'>kidneys</a>, <a href='https://medlineplus.gov/diabeticnerveproblems.html'>nerves</a>, and gums and teeth.</p> <p>You have a higher risk of type 2 diabetes if you are older, obese, have a family history of diabetes, or do not exercise. Having <a href='https://medlineplus.gov/prediabetes.html'>prediabetes</a> also increases your risk. Prediabetes means that your blood sugar is higher than normal but not high enough to be called diabetes. If you are at risk for type 2 diabetes, you may be able to delay or prevent developing it by making some <a href='https://medlineplus.gov/howtopreventdiabetes.html'>lifestyle changes</a>.</p> <p>The symptoms of type 2 diabetes appear slowly. Some people do not notice symptoms at all. The symptoms can include</p> <ul> <li>Being very thirsty</li> <li>Urinating often</li> <li>Feeling very hungry or tired</li> <li>Losing weight without trying</li> <li>Having sores that heal slowly</li> <li>Having blurry eyesight</li> </ul> <p>Blood tests can show if you have diabetes. One type of test, the <a href='https://medlineplus.gov/a1c.html'>A1C</a>, can also check on how you are managing your diabetes. Many people can manage their diabetes through <a href='https://medlineplus.gov/diabeticdiet.html'>healthy eating</a>, physical activity, and blood glucose testing. Some people also need to take <a href='https://medlineplus.gov/diabetesmedicines.html'>diabetes medicines</a>.</p> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>	N	NULL	C0011860								
C0011860	A6954646	AT38154783	NULL	MSH	A subclass of DIABETES MELLITUS that is not INSULIN-responsive or dependent (NIDDM). It is characterized initially by INSULIN RESISTANCE and HYPERINSULINEMIA; and eventually by GLUCOSE INTOLERANCE; HYPERGLYCEMIA; and overt diabetes. Type II diabetes mellitus is no longer considered a disease exclusively found in adults. Patients seldom develop KETOSIS but often exhibit OBESITY.	N	NULL	C0011860								
C0011860	A0484862	AT51220383	NULL	CSP	subclass of diabetes mellitus that is not insulin responsive or dependent; characterized initially by insulin resistance and hyperinsulinemia and eventually by glucose intolerance, hyperglycemia, and overt diabetes; type II diabetes mellitus is no longer considered a disease exclusively found in adults; patients seldom develop ketosis but often exhibit obesity.	N	NULL	C0011860								
C0202041	A12787013	AT197983210	NULL	NCI	A quantitative measurement of the amount of glucose present in a sample of serum.	N	NULL	C0202041								
C0597655	A1187536	AT32352799	NULL	CSP	diabetes mellitus that is caused or exacerbated by the presence of a virus in the body.	N	NULL	C0597655								
C0011859	A7571770	AT198091080	NULL	NCI	A rare syndrome characterized by almost complete absence of body fat, accentuated muscularity, insulin-resistant diabetes, hyperlipidemia, hepatomegaly, and hypermetabolism.	N	NULL	C0011859								
C0011859	A0047894	AT64677296	NULL	MSH	A type of diabetes mellitus that is characterized by severe INSULIN RESISTANCE and LIPODYSTROPHY. The latter may be generalized, partial, acquired, or congenital (LIPODYSTROPHY, CONGENITAL GENERALIZED).	N	NULL	C0011859								
C0011884	A7570024	AT198042202	NULL	NCI	A chronic, pathological complication associated with diabetes mellitus, where retinal damages are incurred due to microaneurysms in the vasculature of the retina, progressively leading to abnormal blood vessel growth, and swelling and leaking of fluid from blood vessels, resulting in vision loss or blindness.	N	NULL	C0011884								
C0011884	A7570024	AT210373764	NULL	NCI_NICHD	Disorder of the retina due to diabetes.	N	NULL	C0011884								
C0011884	A0047936	AT43117497	NULL	MSH	Disease of the RETINA as a complication of DIABETES MELLITUS. It is characterized by the progressive microvascular complications, such as ANEURYSM, interretinal EDEMA, and intraocular PATHOLOGIC NEOVASCULARIZATION.	N	NULL	C0011884								
C0011884	A0477676	AT51222675	NULL	CSP	retinal changes occurring in diabetes mellitus, marked by microaneurysms, exudates, and hemorrhages, and sometimes by neovascularization.	N	NULL	C0011884								
C0011881	A17683370	AT197961641	NULL	NCI	Progressive kidney disorder caused by vascular damage to the glomerular capillaries, in patients with diabetes mellitus. It is usually manifested with nephritic syndrome and glomerulosclerosis.	N	NULL	C0011881								
C0011881	A17683370	AT210368074	NULL	NCI_NICHD	Nephropathy resulting from diabetes mellitus. It is usually associated with proteinuria and progressive glomerulosclerosis.	N	NULL	C0011881								
C0011881	A21142980	AT220103725	NULL	MEDLINEPLUS	<p>If you have <a href='https://medlineplus.gov/diabetes.html'>diabetes</a>, your blood glucose, or <a href='https://medlineplus.gov/bloodsugar.html'>blood sugar</a>, levels are too high. Over time, this can damage your kidneys. Your kidneys clean your blood. If they are damaged, waste and fluids build up in your blood instead of leaving your body.</p> <p>Kidney damage from diabetes is called diabetic nephropathy. It begins long before you have symptoms. People with diabetes should get regular screenings for kidney disease. <a href='https://medlineplus.gov/kidneytests.html'>Tests</a> include a urine test to detect protein in your urine and a blood test to show how well your kidneys are working.</p> <p>If the damage continues, your kidneys could fail. In fact, diabetes is the most common cause of <a href='https://medlineplus.gov/kidneyfailure.html'>kidney failure</a> in the United States. People with kidney failure need either <a href='https://medlineplus.gov/dialysis.html'>dialysis</a> or a <a href='https://medlineplus.gov/kidneytransplantation.html'>kidney transplant</a>.</p> <p>You can slow down kidney damage or keep it from getting worse. Controlling your blood sugar and blood pressure, taking your medicines and not eating too much <a href='https://medlineplus.gov/dietaryproteins.html'>protein</a> can help.</p> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>	N	NULL	C0011881								
C0011881	A0047933	AT43116003	NULL	MSH	KIDNEY injuries associated with diabetes mellitus and affecting KIDNEY GLOMERULUS; ARTERIOLES; KIDNEY TUBULES; and the interstitium. Clinical signs include persistent PROTEINURIA, from microalbuminuria progressing to ALBUMINURIA of greater than 300 mg/24 h, leading to reduced GLOMERULAR FILTRATION RATE and END-STAGE RENAL DISEASE.	N	NULL	C0011881								
C0011881	A0477670	AT51222737	NULL	CSP	kidney disease and resultant kidney function impairment due to the long standing effects of diabetes on the microvasculature (glomerulus) of the kidney; features include increased urine protein and declining kidney function.	N	NULL	C0011881								
C0342276	A24365369	AT205733301	NULL	NCI	A rare autosomal dominant form of diabetes mellitus affecting young people with a positive family history. MODY is a form of monogenic diabetes, resulting from mutations in a single gene. The most common forms are HNF1alpha-MODY (MODY3) and GCK-MODY (MODY2), due to mutations in the HNF1A and GCK genes, respectively.	N	NULL	C0342276								
C0342276	A24675819	AT206301914	NULL	HPO	The term Maturity-onset diabetes of the young (MODY) was initially used for patients diagnosed with fasting hyperglycemia that could be treated without insulin for more than two years, where the initial diagnosis was made at a young age (under 25 years). Thus, MODY combines characteristics of type 1 diabetes (young age at diagnosis) and type 2 diabetes (less insulin dependence than type 1 diabetes). The term MODY is now most often used to refer to a group of monogenic diseases with these characteristics. Here, the term is used to describe hyperglycemia diagnosed at a young age with no or minor insulin dependency, no evidence of insulin resistence, and lack of evidence of autoimmune destruction of the beta cells. [HPO:probinson]	N	NULL	C0342276								
C0687720	A18585858	AT130671429	NULL	CHV	a lack of antidiuretic hormone that causes excessive production of very dilute urine	N	NULL	C0687720								
C0687720	A18585859	AT130671430	NULL	CHV	a lack of antidiuretic hormone that causes excessive production of very dilute urine	N	NULL	C0687720								
C0687720	A18604478	AT130671433	NULL	CHV	a lack of antidiuretic hormone that causes excessive production of very dilute urine	N	NULL	C0687720								
C0687720	A18660238	AT130671434	NULL	CHV	a lack of antidiuretic hormone that causes excessive production of very dilute urine	N	NULL	C0687720								
C0687720	A18660239	AT130671435	NULL	CHV	a lack of antidiuretic hormone that causes excessive production of very dilute urine	N	NULL	C0687720								
C0687720	A17697910	AT197999150	NULL	NCI	Diabetes insipidus caused by decreased secretion of antidiuretic hormone from the pituitary gland.	N	NULL	C0687720								
C0687720	A24666003	AT206285702	NULL	HPO	A form of diabetes insipidus related to a failure of vasopressin (AVP) release from the hypothalamus. [HPO:curators]	N	NULL	C0687720								
C0687720	A17697910	AT224191636	NULL	NCI_NICHD	Diabetes insipidus caused by a decrease in the secretion of antidiuretic hormone (vasopressin) from the posterior pituitary gland; causes include autoimmune and/or inflammatory conditions, congenital anomalies of the central nervous system and pituitary gland, mutation(s) of the AVP gene, irradiation to the region, neoplasia, surgery, and trauma.	N	NULL	C0687720								
C0687720	A1643062	AT53896232	NULL	MSH	A genetic or acquired polyuric disorder caused by a deficiency of VASOPRESSINS secreted by the NEUROHYPOPHYSIS. Clinical signs include the excretion of large volumes of dilute URINE; HYPERNATREMIA; THIRST; and polydipsia. Etiologies include HEAD TRAUMA; surgeries and diseases involving the HYPOTHALAMUS and the PITUITARY GLAND. This disorder may also be caused by mutations of genes such as ARVP encoding vasopressin and its corresponding neurophysin (NEUROPHYSINS).	N	NULL	C0687720								
C0678154	A1883361	AT51220266	NULL	CSP	diminished effectiveness of insulin in raising or lowering blood sugar levels; it is associated with obesity, diabetes mellitus, ketoacidosis, infection, and certain rare conditions.	N	NULL	C0678154								
C0342277	A27942881	AT224192190	NULL	NCI	Monogenic diabetes caused by inactivating mutation(s) in the GCK gene, encoding glucokinase. Heterozygous GCK mutations may manifest as mild hyperglycemia, which is not progressive, and usually requires no treatment. Homozygous GCK mutations result in permanent neonatal diabetes.	N	NULL	C0342277								
C0342277	A27942881	AT224195865	NULL	NCI_NICHD	Monogenic diabetes caused by inactivating mutation(s) in the GCK gene, encoding glucokinase. Heterozygous GCK mutations may manifest as mild hyperglycemia, which is not progressive, and usually requires no treatment. Homozygous GCK mutations result in permanent neonatal diabetes.	N	NULL	C0342277								
C0011849	A18572274	AT130673334	NULL	CHV	diabetes mellitus	N	NULL	C0011849								
C0011849	A18590933	AT130673335	NULL	CHV	diabetes mellitus	N	NULL	C0011849								
C0011849	A18590934	AT130673336	NULL	CHV	diabetes mellitus	N	NULL	C0011849								
C0011849	A18628065	AT130673337	NULL	CHV	diabetes mellitus	N	NULL	C0011849								
C0011849	A18628066	AT130673338	NULL	CHV	diabetes mellitus	N	NULL	C0011849								
C0011849	A18646728	AT130673339	NULL	CHV	diabetes mellitus	N	NULL	C0011849								
C0011849	A7570023	AT197967334	NULL	NCI	A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.	N	NULL	C0011849								
C0011849	A7570023	AT198004766	NULL	NCI_NCI-GLOSS	A disease in which the body does not control the amount of glucose (a type of sugar) in the blood and the kidneys make a large amount of urine. This disease occurs when the body does not make enough insulin or does not use it the way it should.	N	NULL	C0011849								
C0011849	A24672870	AT206298707	NULL	HPO	A group of abnormalities characterized by hyperglycemia and glucose intolerance. [HPO:probinson]	N	NULL	C0011849								
C0011849	A21144151	AT220104434	NULL	MEDLINEPLUS	<p>Diabetes is a disease in which your blood glucose, or <a href='https://medlineplus.gov/bloodsugar.html'>blood sugar</a>, levels are too high. Glucose comes from the foods you eat. Insulin is a hormone that helps the glucose get into your cells to give them energy. With <a href='https://medlineplus.gov/diabetestype1.html'>type 1 diabetes</a>, your body does not make insulin. With <a href='https://medlineplus.gov/diabetestype2.html'>type 2 diabetes</a>, the more common type, your body does not make or use insulin well. Without enough insulin, the glucose stays in your blood. You can also have <a href='https://medlineplus.gov/prediabetes.html'>prediabetes</a>. This means that your blood sugar is higher than normal but not high enough to be called diabetes. Having prediabetes puts you at a higher risk of getting type 2 diabetes.</p> <p>Over time, having too much glucose in your blood can cause <a href='https://medlineplus.gov/diabetescomplications.html'>serious problems</a>. It can damage your <a href='https://medlineplus.gov/diabeticeyeproblems.html'>eyes</a>, <a href='https://medlineplus.gov/diabetickidneyproblems.html'>kidneys</a>, and <a href='https://medlineplus.gov/diabeticnerveproblems.html'>nerves</a>. Diabetes can also cause <a href='https://medlineplus.gov/diabeticheartdisease.html'>heart disease</a>, stroke and even the need to remove a limb. Pregnant women can also get diabetes, called <a href='https://medlineplus.gov/diabetesandpregnancy.html'>gestational diabetes</a>.</p> <p>Blood tests can show if you have diabetes. One type of test, the <a href='https://medlineplus.gov/a1c.html'>A1C</a>, can also check on how you are managing your diabetes. Exercise, weight control and sticking to your <a href='https://medlineplus.gov/diabeticdiet.html'>meal plan</a> can help control your diabetes. You should also monitor your blood glucose level and take <a href='https://medlineplus.gov/diabetesmedicines.html'>medicine</a> if prescribed. </p> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>	N	NULL	C0011849								
C0011849	A7570023	AT224195318	NULL	NCI_NICHD	A metabolic condition, characterized by hyperglycemia, caused by insufficient secretion of insulin by the pancreas and/or decreased insulin action in target tissues.	N	NULL	C0011849								
C0011849	A0477662	AT32353659	NULL	CSP	heterogeneous group of disorders that share glucose intolerance in common.	N	NULL	C0011849								
C0011849	A0047877	AT43116029	NULL	MSH	A heterogeneous group of disorders characterized by HYPERGLYCEMIA and GLUCOSE INTOLERANCE.	N	NULL	C0011849								
C0063684	A18454390	AT127396415	NULL	MSH	A pancreatic beta-cell hormone that is co-secreted with INSULIN. It displays an anorectic effect on nutrient metabolism by inhibiting gastric acid secretion, gastric emptying and postprandial GLUCAGON secretion. Islet amyloid polypeptide can fold into AMYLOID FIBRILS that have been found as a major constituent of pancreatic AMYLOID DEPOSITS.	N	NULL	C0063684								
C0063684	A0161101	AT51221338	NULL	CSP	37-amino acid polypeptide occurring packaged with insulin in the beta cell secretory granules in normal pancreatic islets; also, a major component of islet amyloid in patients with noninsulin dependent diabetes mellitus.	N	NULL	C0063684								
C2984262	A19023649	AT198086210	NULL	NCI_KEGG	About 2-5% of type II diabetic patients suffer from a monogenic disease with autosomal dominant inheritance. This monogenic form of type II diabetes is called maturity onset diabetes of the young (MODY).	N	NULL	C2984262								
C2984301	A19045314	AT198110842	NULL	NCI_KEGG	"Insulin resistance is strongly associated with type II diabetes. Diabetogenic"" factors including FFA"	N	NULL	C2984301								
C3273872	A20237205	AT198050285	NULL	NCI	Human NEUROD1 wild-type allele is located in the vicinity of 2q32 and is approximately 8 kb in length. This allele, which encodes neurogenic differentiation factor 1 protein, is involved in both DNA binding and transcriptional activation. Mutation of the gene is associated with both maturity-onset diabetes of the young type 6 and type 2 diabetes mellitus.	N	NULL	C3273872								
C3888631	A27926908	AT224186620	NULL	NCI	Diabetes mellitus caused by mutation(s) in a single gene, usually presenting in childhood or early adulthood.	N	NULL	C3888631								
C3888631	A27926908	AT224195998	NULL	NCI_NICHD	Diabetes mellitus caused by mutation(s) in a single gene, usually presenting in childhood or early adulthood.	N	NULL	C3888631								
C0236100	A7596192	AT198102928	NULL	NCI	A non-neoplastic or neoplastic disorder that affects the female genital system. Representative examples of non-neoplastic disorders include infection, endometriosis, and adenomyosis. Representative examples of neoplastic disorders include germ cell tumors, carcinoma, lymphoma, and sarcoma.	N	NULL	C0236100								
C0236100	A0318950	AT51220477	NULL	CSP	deviation from or interruption of the normal structure or function of the female reproductive system; note that mammary disorders are treed under REPRODUCTIVE SYSTEM DISORDER.	N	NULL	C0236100								
C0036572	A18553595	AT130671065	NULL	CHV	the most dramatic type of seizure	N	NULL	C0036572								
C0036572	A18553596	AT130671066	NULL	CHV	the most dramatic type of seizure	N	NULL	C0036572								
C0036572	A18590733	AT130671067	NULL	CHV	the most dramatic type of seizure	N	NULL	C0036572								
